
2025/03/06 (13:51:00) | ===> btop++ v.1.4.0
2025/03/06 (13:51:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (13:51:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (13:51:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (13:51:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (13:51:28) | ===> btop++ v.1.4.0
2025/03/06 (13:51:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (13:51:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (13:51:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (13:51:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (13:51:35) | ===> btop++ v.1.4.0
2025/03/06 (13:51:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (13:51:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (13:51:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (13:51:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (13:51:47) | ===> btop++ v.1.4.0
2025/03/06 (13:51:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (13:51:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (13:51:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (13:51:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (13:52:22) | ===> btop++ v.1.4.0
2025/03/06 (13:52:22) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (13:52:22) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (13:52:22) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (13:52:22) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (13:54:08) | ===> btop++ v.1.4.0
2025/03/06 (13:54:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (13:54:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (13:54:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (13:54:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (13:54:18) | ===> btop++ v.1.4.0
2025/03/06 (13:54:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (13:54:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (13:54:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (13:54:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (13:55:00) | ===> btop++ v.1.4.0
2025/03/06 (13:55:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (13:55:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (13:55:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (13:55:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (13:55:01) | ===> btop++ v.1.4.0
2025/03/06 (13:55:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (13:55:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (13:55:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (13:55:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (13:55:04) | ===> btop++ v.1.4.0
2025/03/06 (13:55:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (13:55:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (13:55:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (13:55:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (14:13:55) | ===> btop++ v.1.4.0
2025/03/06 (14:13:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/06 (14:13:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/06 (14:13:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/06 (14:13:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/06 (14:16:54) | ===> btop++ v.1.4.0
